Wall time,Step,Value
1782286811.1849058,790528,735.8300170898438
1782286815.5677302,791552,735.8300170898438
1782286819.9886923,792576,735.8300170898438
1782286828.8721294,794624,864.510009765625
1782286833.2950974,795648,874.4199829101562
1782286842.2521946,797696,874.4199829101562
1782286846.6898775,798720,874.4199829101562
1782286851.139664,799744,874.4199829101562
1782286855.5343614,800768,874.4199829101562
1782286859.9565976,801792,874.4199829101562
1782286864.3890872,802816,874.4199829101562
1782286886.438517,807936,1184.22998046875
1782286890.8672113,808960,1090.81005859375
1782286899.7718678,811008,1090.81005859375
1782286908.6342244,813056,1090.81005859375
1782286917.53377,815104,1301.969970703125
1782286921.9534342,816128,1301.969970703125
1782286935.1873558,819200,1313.9599609375
1782286939.5837848,820224,855.5599975585938
1782286957.3384204,824320,855.5599975585938
1782286961.8389027,825344,855.5599975585938
1782286966.2708972,826368,855.5599975585938
1782286970.7705975,827392,855.5599975585938
1782286983.970241,830464,882.5499877929688
1782286997.3222735,833536,705.1599731445312
1782287019.500209,838656,390.7900085449219
1782287023.9535902,839680,495.17999267578125
1782287032.8831491,841728,503.95001220703125
1782287037.3531764,842752,503.95001220703125
1782287041.770096,843776,486.7799987792969
1782287050.6889145,845824,486.7799987792969
1782287055.121346,846848,486.7799987792969
1782287059.6052139,847872,486.7799987792969
1782287064.0694737,848896,486.7799987792969
1782287081.8365815,852992,517.1799926757812
1782287086.322003,854016,517.1799926757812
1782287095.2041357,856064,517.1799926757812
1782287099.6652613,857088,550.280029296875
1782287104.0994363,858112,550.280029296875
1782287112.8701553,860160,444.92999267578125
1782287117.326897,861184,444.92999267578125
1782287130.7862682,864256,510.82000732421875
1782287139.735224,866304,510.82000732421875
1782287162.2033267,871424,510.82000732421875
1782287166.693181,872448,510.82000732421875
1782287180.2217464,875520,510.82000732421875
1782287193.4993823,878592,510.82000732421875
1782287206.8217084,881664,562.739990234375
1782287211.2380354,882688,562.739990234375
1782287215.67324,883712,562.739990234375
1782287228.8749228,886784,632.9400024414062
1782287233.298573,887808,632.9400024414062
1782287251.1522071,891904,680.4600219726562
1782287255.5828862,892928,574.52001953125
1782287299.7332838,903168,423.6499938964844
1782287308.5148132,905216,448.239990234375
1782287312.933611,906240,379.2200012207031
1782287317.4018474,907264,289.0400085449219
1782287321.8587456,908288,289.0400085449219
1782287330.7414396,910336,215.24000549316406
1782287339.6858313,912384,215.24000549316406
1782287348.531959,914432,215.24000549316406
1782287361.8083687,917504,287.67999267578125
1782287370.6007335,919552,296.9700012207031
1782287375.0201356,920576,276.6000061035156
1782287388.1879709,923648,290.5899963378906
1782287392.6466734,924672,251.86000061035156
1782287401.4838066,926720,312.17999267578125
1782287410.3689067,928768,312.6499938964844
1782287414.837812,929792,312.6499938964844
1782287419.232377,930816,312.6499938964844
1782287428.086458,932864,193.5500030517578
1782287432.565197,933888,193.5500030517578
1782287441.4641337,935936,193.5500030517578
1782287445.8704157,936960,193.5500030517578
1782287463.6527436,941056,184.77999877929688
1782287468.1034534,942080,184.77999877929688
1782287477.0183518,944128,181.17999267578125
1782287485.8532364,946176,181.17999267578125
1782287503.5970225,950272,239.07000732421875
1782287508.0479248,951296,239.07000732421875
1782287512.4970155,952320,239.07000732421875
1782287516.869453,953344,239.07000732421875
1782287521.302578,954368,239.07000732421875
1782287525.7512062,955392,239.07000732421875
1782287530.1685073,956416,248.30999755859375
1782287539.1166523,958464,274.4100036621094
1782287556.869683,962560,274.4100036621094
1782287565.8527548,964608,274.4100036621094
1782287570.3818421,965632,274.4100036621094
1782287583.7716205,968704,323.489990234375
1782287601.546589,972800,344.2200012207031
1782287614.750235,975872,299.3999938964844
1782287623.5962522,977920,299.3999938964844
1782287627.9847727,978944,299.3999938964844
1782287632.5126107,979968,299.3999938964844
1782287650.1534023,984064,213.1999969482422
1782287658.966974,986112,216.27999877929688
1782287663.3808432,987136,125.4000015258789
1782287667.848914,988160,125.4000015258789
1782287672.2518632,989184,144.11000061035156
1782287681.1026242,991232,132.52000427246094
1782287685.4958258,992256,132.52000427246094
1782287698.662648,995328,150.33999633789062
1782287720.7395358,1000448,150.33999633789062
1782287729.688462,1002496,151.44000244140625
1782287734.1523743,1003520,192.85000610351562
1782287743.0321395,1005568,163.5399932861328
1782287747.4342904,1006592,163.5399932861328
1782287765.2502437,1010688,163.5399932861328
1782287774.068052,1012736,168.94000244140625
1782287778.4525125,1013760,168.94000244140625
1782287782.8687322,1014784,232.4199981689453
1782287791.7987888,1016832,232.4199981689453
1782287800.6902535,1018880,232.4199981689453
1782287805.1996348,1019904,232.4199981689453
1782287809.6660583,1020928,240.74000549316406
1782287818.5952432,1022976,240.74000549316406
1782287823.0460815,1024000,240.74000549316406
1782287831.8340755,1026048,249.5
1782287836.3355935,1027072,218.58999633789062
1782287840.7383194,1028096,135.0800018310547
1782287845.1522057,1029120,119.54000091552734
1782287849.5794444,1030144,125.43000030517578
1782287853.9843435,1031168,98.37999725341797
1782287876.300795,1036288,135.16000366210938
1782287885.2494,1038336,135.16000366210938
1782287894.151221,1040384,147.27999877929688
1782287898.5457766,1041408,147.27999877929688
1782287902.9570968,1042432,147.27999877929688
1782287925.2846842,1047552,153.86000061035156
1782287943.2922955,1051648,194.86000061035156
1782287952.1985924,1053696,194.86000061035156
1782287956.66438,1054720,220.07000732421875
1782287983.3321555,1060864,230.69000244140625
1782287987.831622,1061888,230.69000244140625
1782287992.2812726,1062912,230.69000244140625
1782287996.7000082,1063936,230.69000244140625
1782288001.1159008,1064960,230.69000244140625
1782288018.727461,1069056,230.69000244140625
1782288027.6382833,1071104,230.69000244140625
1782288032.061953,1072128,230.69000244140625
1782288058.6104136,1078272,230.69000244140625
1782288063.0659618,1079296,230.69000244140625
1782288076.4140925,1082368,211.27999877929688
1782288085.3150325,1084416,211.27999877929688
1782288089.7820506,1085440,211.27999877929688
1782288094.2138224,1086464,289.8299865722656
1782288103.1183815,1088512,496.8999938964844
1782288116.4434566,1091584,391.30999755859375
1782288120.8662302,1092608,391.30999755859375
1782288125.2499752,1093632,401.989990234375
1782288134.060816,1095680,411.7099914550781
1782288138.446877,1096704,411.7099914550781
1782288142.897673,1097728,411.7099914550781
1782288147.3487825,1098752,411.7099914550781
1782288151.7966993,1099776,411.7099914550781
1782288156.2954006,1100800,411.7099914550781
1782288169.5265112,1103872,411.7099914550781
1782288173.9442682,1104896,411.7099914550781
1782288182.8884418,1106944,411.7099914550781
1782288187.361673,1107968,411.7099914550781
1782288191.8172038,1108992,411.7099914550781
1782288205.2479408,1112064,411.7099914550781
1782288209.7343357,1113088,411.7099914550781
1782288214.247138,1114112,411.7099914550781
1782288232.1627328,1118208,411.7099914550781
1782288236.6466794,1119232,411.7099914550781
1782288241.1304889,1120256,411.7099914550781
1782288263.1969862,1125376,399.1000061035156
1782288272.1138256,1127424,399.1000061035156
1782288280.979999,1129472,399.1000061035156
1782288285.431635,1130496,399.1000061035156
1782288289.8830342,1131520,399.1000061035156
1782288303.2477152,1134592,399.1000061035156
1782288307.6977565,1135616,399.1000061035156
1782288312.1300006,1136640,399.1000061035156
1782288316.5588965,1137664,399.1000061035156
1782288320.9798691,1138688,399.1000061035156
1782288325.460645,1139712,399.1000061035156
1782288329.8790956,1140736,399.1000061035156
1782288334.2969673,1141760,399.1000061035156
1782288343.1190333,1143808,399.1000061035156
1782288356.3825626,1146880,399.1000061035156
1782288365.181285,1148928,399.1000061035156
1782288369.5590448,1149952,399.1000061035156
1782288382.752096,1153024,399.1000061035156
1782288387.1491466,1154048,399.1000061035156
1782288395.9371636,1156096,399.1000061035156
1782288400.331536,1157120,399.1000061035156
1782288404.8086534,1158144,399.1000061035156
1782288409.1847124,1159168,399.1000061035156
1782288413.629015,1160192,399.1000061035156
1782288422.6910698,1162240,399.1000061035156
1782288427.1119764,1163264,399.1000061035156
1782288431.558337,1164288,399.1000061035156
1782288435.9557128,1165312,399.1000061035156
1782288444.8453276,1167360,442.9599914550781
1782288458.2315273,1170432,442.9599914550781
1782288471.6743731,1173504,442.9599914550781
1782288476.1293395,1174528,442.9599914550781
1782288485.0089798,1176576,442.9599914550781
1782288489.4457302,1177600,442.9599914550781
1782288493.8409057,1178624,442.9599914550781
1782288498.2466466,1179648,442.9599914550781
1782288502.6921802,1180672,442.9599914550781
1782288507.1639109,1181696,442.9599914550781
1782288516.067669,1183744,442.9599914550781
1782288533.625939,1187840,442.9599914550781
1782288538.0747695,1188864,442.9599914550781
1782288546.9269972,1190912,442.9599914550781
1782288555.8411286,1192960,442.9599914550781
1782288564.7464428,1195008,442.9599914550781
1782288569.1865387,1196032,442.9599914550781
1782288595.7919805,1202176,442.9599914550781
1782288600.179396,1203200,442.9599914550781
1782288609.0397048,1205248,442.9599914550781
1782288613.457437,1206272,442.9599914550781
1782288617.8786805,1207296,442.9599914550781
1782288635.5903,1211392,442.9599914550781
1782288644.4264948,1213440,442.9599914550781
1782288653.343219,1215488,442.9599914550781
1782288662.141915,1217536,442.9599914550781
1782288666.5901475,1218560,442.9599914550781
1782288671.009606,1219584,442.9599914550781
1782288684.327455,1222656,442.9599914550781
1782288688.725965,1223680,442.9599914550781
1782288693.223586,1224704,442.9599914550781
1782288702.1607413,1226752,442.9599914550781
1782288706.5900888,1227776,442.9599914550781
1782288719.7899904,1230848,442.9599914550781
1782288724.2220511,1231872,442.9599914550781
1782288737.5727072,1234944,442.9599914550781
1782288741.9593203,1235968,442.9599914550781
1782288746.4099865,1236992,442.9599914550781
1782288755.2766798,1239040,442.9599914550781
1782288772.8596315,1243136,442.9599914550781
1782288777.3262775,1244160,442.9599914550781
1782288781.7450047,1245184,442.9599914550781
1782288790.62493,1247232,442.9599914550781
1782288795.0597377,1248256,442.9599914550781
1782288812.7775497,1252352,442.9599914550781
1782288817.1785831,1253376,442.9599914550781
1782288825.9907925,1255424,442.9599914550781
1782288839.3074315,1258496,442.9599914550781
1782288843.7591283,1259520,442.9599914550781
1782288856.9750905,1262592,442.9599914550781
1782288861.4881692,1263616,442.9599914550781
1782288883.5382783,1268736,442.9599914550781
1782288892.371096,1270784,442.9599914550781
1782288896.7714176,1271808,442.9599914550781
1782288901.204191,1272832,442.9599914550781
1782288905.6062667,1273856,442.9599914550781
1782288910.125953,1274880,442.9599914550781
1782288914.5879157,1275904,442.9599914550781
1782288918.9954498,1276928,442.9599914550781
1782288932.2595875,1280000,442.9599914550781
1782288936.6710384,1281024,442.9599914550781
1782288941.1254218,1282048,442.9599914550781
1782288945.5879073,1283072,442.9599914550781
1782288954.487542,1285120,442.9599914550781
1782288963.45593,1287168,442.9599914550781
1782288967.8922238,1288192,442.9599914550781
1782288981.2573292,1291264,442.9599914550781
1782288985.7748787,1292288,442.9599914550781
1782288999.170688,1295360,442.9599914550781
1782289012.5704837,1298432,442.9599914550781
1782289030.288127,1302528,442.9599914550781
1782289052.3411655,1307648,442.9599914550781
1782289056.7374651,1308672,442.9599914550781
1782289061.0900755,1309696,442.9599914550781
1782289078.7322452,1313792,442.9599914550781
1782289092.04212,1316864,442.9599914550781
1782289114.1542392,1321984,442.9599914550781
1782289127.3222466,1325056,442.9599914550781
1782289140.675922,1328128,442.9599914550781
1782289149.58874,1330176,442.9599914550781
1782289154.1072598,1331200,442.9599914550781
1782289163.1361074,1333248,442.9599914550781
1782289167.5524359,1334272,442.9599914550781
1782289185.340325,1338368,442.9599914550781
1782289203.1569998,1342464,442.9599914550781
1782289220.907708,1346560,442.9599914550781
1782289225.3427546,1347584,442.9599914550781
1782289247.5689728,1352704,442.9599914550781
1782289256.3812888,1354752,442.9599914550781
1782289260.7728193,1355776,442.9599914550781
1782289269.6954072,1357824,442.9599914550781
1782289274.1237705,1358848,442.9599914550781
